edward-douglas,0.266327876,1915
katie-walsh,0.269966188,610
matt-brunson,0.281501778,2888
james-verniere,0.282478382,2012
amber-wilkinson,0.283144012,1086
steve-persall,0.285186889,850
ella-taylor,0.285217289,1138
john-wirt,0.286194928,832
richard-roeper,0.287109436,2585
sam-adams,0.289085651,547
doris-toumarkine,0.296910291,858
jeffrey-m-anderson,0.300802296,5736
guy-lodge,0.304966034,617
tim-brayton,0.313110353,2945
stephen-silver,0.313480377,721
michael-atkinson,0.316563074,947
walter-chaw,0.319246355,2258
allan-hunter,0.325390935,2089
gene-seymour,0.368195176,743
peter-hartlaub,0.375141537,586
david-n-butterworth,0.375492603,876
jeffrey-overstreet,0.375977755,660
leonard-maltin,0.376968388,806
alistair-harkness,0.379436974,1237
david-noh,0.387455468,1711
andy-lea,0.387705391,519
neil-genzlinger,0.390663352,665
avi-offer,0.393472678,1572
daniel-m-kimmel,0.41430983,1667
chris-cabin,0.42587384,844
daniel-eagan,0.428146423,866
kyle-smith,0.442110495,1976
chris-knight,0.447396335,1065
anton-bitel,0.476724962,2581
armond-white,0.487934634,794
eric-d-snider,0.500005075,3658
ron-wilkinson,0.500007741,931
matt-donato,0.500061035,936
robert-horton,0.500061099,650
paul-byrnes,0.500093818,553
chris-barsanti,0.500125886,1313
michael-rechtshaffen,0.500130177,1150
carrie-rickey,0.500228912,1315
josh-larsen,0.500732422,2134
chris-vognar,0.501037717,925
ao-scott,0.501038078,2273
chris-hewitt,0.50195314,3867
joshua-rothkopf,0.501960874,1263
rich-cline,0.501962759,3867
steven-rea,0.502931626,2099
charlotte-osullivan,0.503908158,759
robin-clifford,0.503915315,2653
peter-sobczynski,0.504029278,1343
david-stratton,0.504162073,1005
annlee-ellingson,0.504409791,1141
scott-tobias,0.507845998,1458
david-parkinson,0.509887703,1233
tom-keogh,0.512779535,758
j-hoberman,0.515626939,1050
rene-rodriguez,0.523454498,1766
chris-bumbray,0.523559573,1262
sheri-linden,0.531285537,1074
tim-robey,0.531738282,1465
stephen-whitty,0.532234435,2632
jackie-k-cooper,0.535832453,1204
dennis-harvey,0.548340837,1113
rob-gonsalves,0.548894914,1623
louis-proyect,0.562649685,1061
keith-phipps,0.56298925,758
keith-uhlich,0.563345564,1081
peter-rainer,0.56347752,2328
sarah-boslaugh,0.56447697,780
nigel-andrews,0.566467304,1616
gary-thompson,0.62500301,2257
david-rooney,0.625496152,626
norman-wilner,0.629162438,1195
sherilyn-connelly,0.633431517,570
maitland-mcdonagh,0.641296668,2744
dan-jardine,0.642578364,935
nell-minow,0.656260531,3759
jeffrey-lyles,0.656410714,732
boyd-van-hoeij,0.657007743,821
sean-oconnell,0.657299995,1306
nick-pinkerton,0.664097594,592
nicolas-rapold,0.675781253,621
claudia-puig,0.691422032,1987
david-nusair,0.732957587,5310
rex-reed,0.750020061,1580
katherine-monk,0.752029669,532
david-fear,0.753971339,895
bill-chambers,0.755127918,615
kevin-n-laforest,0.756490769,923
mike-mccahill,0.758309431,606
charles-koplinski,0.766175576,554
carla-meyer,0.7700205,787
richard-brody,0.775268975,917
